idindikator;mes;god;IDTer;nTer;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
05010107IND02;00;2019;70017;Aleksandrovac;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70025;Aleksinac;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70033;Aranđelovac;71321;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70041;Arilje;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70050;Babušnica;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70068;Bajina Bašta;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70076;Batočina;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70084;Bela Palanka;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70092;Barajevo;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70106;Voždovac;189103;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70114;Vračar;240703;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70122;Grocka;89261;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70149;Zvezdara;161044;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70157;Zemun;185123;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70165;Lazarevac;100229;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70173;Mladenovac;85622;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70181;Novi Beograd;274857;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70190;Obrenovac;100333;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70203;Palilula (Beograd);151930;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70211;Rakovica;122102;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70220;Savski venac;347475;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70238;Sopot;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70246;Stari grad;271152;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70254;Čukarica;155735;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70262;Blace;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70289;Bogatić;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70297;Bojnik;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70319;Boljevac;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70327;Bor;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70335;Bosilegrad;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70343;Brus;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
05010107IND02;00;2019;70351;Bujanovac;52496;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70360;Valjevo;94558;RSD;RSD;SORS;Average price per m²;A;Normal value
05010107IND02;00;2019;70378;Varvarin;;RSD;RSD;SORS;Average price per m²;M;Missing value - data cannot exist
