idindikator;IDTer;nTer;IDTipNaselja;nTipNaselja;mes;god;IDVrPod;nVrPod;IDCOICOP;nCOICOP;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0000;Total;33910;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0100;Food and non-alcoholic beverages;13241;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;39;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0200;Alcoholic beverages, tobacco and narcotics;1478;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0200;Alcoholic beverages, tobacco and narcotics;4.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0300;Clothing and footwear;2160;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0300;Clothing and footwear;6.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0400;Housing, water, electricity, gas and other fuels;5458;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0400;Housing, water, electricity, gas and other fuels;16.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0500;Furnishings, household equipment and routine household maintenance;1677;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0500;Furnishings, household equipment and routine household maintenance;4.9;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0600;Health;1382;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0600;Health;4.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0700;Transport;3596;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0700;Transport;10.6;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0800;Communication;1081;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0800;Communication;3.2;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;0900;Recreation and culture;1643;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;0900;Recreation and culture;4.8;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;1000;Education;362;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;1000;Education;1.1;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;1100;Restaurants and hotels;459;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;1100;Restaurants and hotels;1.4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;1;RSD;1200;Miscellaneous goods and services;1373;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;0;Total;00;2006;2;structure, %;1200;Miscellaneous goods and services;4;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0000;Total;34691;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0000;Total;100;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;1;RSD;0100;Food and non-alcoholic beverages;12976;;;SORS;Personal household consumption, monthly average;A;Normal value
010201IND01;RS;REPUBLIC OF SERBIA;G;Urban settlements;00;2006;2;structure, %;0100;Food and non-alcoholic beverages;37.4;;;SORS;Personal household consumption, monthly average;A;Normal value
