idindikator;mes;god;IDVarijanteStanovnistva;nVarijanteStanovnistva;IDTer;nTer;IDPol;nPol;IDStarGrupa;nStarGrupa;vrednost;idJedinicaMere;nJedinicaMere;nIzvorI;Indikator;IDStatusPodatka;nStatusPodatka
180203IND01;00;2016;1;Low variant;RS;REPUBLIC OF SERBIA;0;Total;0;Total;7057971;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS;REPUBLIC OF SERBIA;0;Total;0;Total;7079921;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS;REPUBLIC OF SERBIA;0;Total;0;Total;7079781;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS;REPUBLIC OF SERBIA;0;Total;0;Total;7041599;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS;REPUBLIC OF SERBIA;0;Total;0;Total;7073540;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS1;SRBIJA – SEVER;0;Total;0;Total;3572445;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS1;SRBIJA – SEVER;0;Total;0;Total;3580374;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS1;SRBIJA – SEVER;0;Total;0;Total;3542339;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS1;SRBIJA – SEVER;0;Total;0;Total;3558644;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS1;SRBIJA – SEVER;0;Total;0;Total;3578654;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS11;Beogradski region;0;Total;0;Total;1698300;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS11;Beogradski region;0;Total;0;Total;1699460;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS11;Beogradski region;0;Total;0;Total;1646069;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS11;Beogradski region;0;Total;0;Total;1690375;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS11;Beogradski region;0;Total;0;Total;1699466;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS12;Region Vojvodine;0;Total;0;Total;1874145;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS12;Region Vojvodine;0;Total;0;Total;1880914;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS12;Region Vojvodine;0;Total;0;Total;1896270;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS12;Region Vojvodine;0;Total;0;Total;1868269;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS12;Region Vojvodine;0;Total;0;Total;1879188;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS2;SRBIJA – JUG;0;Total;0;Total;3485526;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS2;SRBIJA – JUG;0;Total;0;Total;3499547;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS2;SRBIJA – JUG;0;Total;0;Total;3537442;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS2;SRBIJA – JUG;0;Total;0;Total;3482955;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS2;SRBIJA – JUG;0;Total;0;Total;3494886;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;0;Total;1956047;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;0;Total;1964033;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;0;Total;1989481;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;0;Total;1947915;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS21;Region Šumadije i Zapadne Srbije;0;Total;0;Total;1961287;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS22;Region Južne i Istočne Srbije;0;Total;0;Total;1529479;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS22;Region Južne i Istočne Srbije;0;Total;0;Total;1535514;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS22;Region Južne i Istočne Srbije;0;Total;0;Total;1547961;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS22;Region Južne i Istočne Srbije;0;Total;0;Total;1535040;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS22;Region Južne i Istočne Srbije;0;Total;0;Total;1533599;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS;REPUBLIC OF SERBIA;0;Total;00-4;0–4;307784;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS;REPUBLIC OF SERBIA;0;Total;00-4;0–4;329736;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS;REPUBLIC OF SERBIA;0;Total;00-4;0–4;329694;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS;REPUBLIC OF SERBIA;0;Total;00-4;0–4;304992;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS;REPUBLIC OF SERBIA;0;Total;00-4;0–4;323349;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS1;SRBIJA – SEVER;0;Total;00-4;0–4;171150;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS1;SRBIJA – SEVER;0;Total;00-4;0–4;179081;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS1;SRBIJA – SEVER;0;Total;00-4;0–4;175305;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS1;SRBIJA – SEVER;0;Total;00-4;0–4;167177;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS1;SRBIJA – SEVER;0;Total;00-4;0–4;177354;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS11;Beogradski region;0;Total;00-4;0–4;90591;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS11;Beogradski region;0;Total;00-4;0–4;91752;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS11;Beogradski region;0;Total;00-4;0–4;87683;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS11;Beogradski region;0;Total;00-4;0–4;86510;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS11;Beogradski region;0;Total;00-4;0–4;91752;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS12;Region Vojvodine;0;Total;00-4;0–4;80559;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS12;Region Vojvodine;0;Total;00-4;0–4;87329;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS12;Region Vojvodine;0;Total;00-4;0–4;87622;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS12;Region Vojvodine;0;Total;00-4;0–4;80667;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS12;Region Vojvodine;0;Total;00-4;0–4;85602;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS2;SRBIJA – JUG;0;Total;00-4;0–4;136634;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS2;SRBIJA – JUG;0;Total;00-4;0–4;150655;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS2;SRBIJA – JUG;0;Total;00-4;0–4;154389;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS2;SRBIJA – JUG;0;Total;00-4;0–4;137815;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS2;SRBIJA – JUG;0;Total;00-4;0–4;145995;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;00-4;0–4;78525;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;00-4;0–4;86511;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;00-4;0–4;89326;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;4;Constant variant;RS21;Region Šumadije i Zapadne Srbije;0;Total;00-4;0–4;79207;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;5;Variant without migration (zero net migration);RS21;Region Šumadije i Zapadne Srbije;0;Total;00-4;0–4;83766;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;1;Low variant;RS22;Region Južne i Istočne Srbije;0;Total;00-4;0–4;58109;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;2;Medium variant;RS22;Region Južne i Istočne Srbije;0;Total;00-4;0–4;64144;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
180203IND01;00;2016;3;High variant;RS22;Region Južne i Istočne Srbije;0;Total;00-4;0–4;65063;NR;number;SORS;Population projections, five variants, by regions;A;Normal value
